spec_fixed,spec_variable,label,M,beta,certified,status,source_file,order,replicate,seed,fixed_group_phase,group1_type,group1_noise_scale,group1_n,group1_g,group1_value,group2_type,group2_noise_scale,group2_n,group2_g,group2_value,incorrect_reward,inactive_group_reward,phase_timesteps,switch_timestep,end_timestep,diff_whole_model,diff_actor,diff_critic,diff_policy_net_0,diff_policy_net_2,diff_action_net,diff_value_net_0,diff_value_net_2,diff_value_net_out
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,batch_summary_2.csv,fixed_first,0,0,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,1.982580270496671,1.6824083790233377,1.0488691887717543,0.783594880146037,1.4494155829806796,0.3401051093847749,0.66964922992762,0.8001467144626448,0.10705941970092298
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,batch_summary_2.csv,fixed_first,1,1,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,3.8295795964378185,3.5921533572601607,1.3274464747692853,1.167986321077893,3.218092314183176,1.087775506823694,0.7339851277881962,1.0986606102711582,0.12776869335543156
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,batch_summary_2.csv,fixed_first,2,2,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,6.360442412087191,6.034157373424438,2.0110127971310927,2.671355124419044,4.934217264095524,2.2200038281936116,1.1254612784963192,1.6585614544010256,0.16335018459006015
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,batch_summary_2.csv,fixed_first,3,3,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,5.94227052827056,5.711926546831554,1.6384364970159335,2.589520533488951,4.638798084349038,2.098104052633671,1.0191753394698035,1.275585828508645,0.1365158462537152
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,batch_summary_2.csv,fixed_first,4,4,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,4.592612727974555,4.222272213208905,1.806795236521798,2.0003594135157994,3.3994227198025064,1.5066751578509834,0.8973839013842745,1.5610667820012771,0.14927043373145404
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,batch_summary_2.csv,variable_first,0,0,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,2.5067643699279376,2.26252304959971,1.0792854378570285,0.7065459714666226,2.071328291820519,0.5739359264570817,0.625408170455144,0.8732752554614889,0.10541349485174423
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,batch_summary_2.csv,variable_first,1,1,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,3.534589270903823,3.35732136709642,1.1053119704527958,0.7670376187423602,2.9641063336040525,1.3774373657210572,0.7182130051514924,0.8296006355234843,0.13284358018562753
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,batch_summary_2.csv,variable_first,2,2,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,2.6138677939899946,2.417306867979801,0.9944507783072055,0.8024574043282677,2.205433375121839,0.5792220956763884,0.6035806194973677,0.780802026105425,0.12235596541502827
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,batch_summary_2.csv,variable_first,3,3,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,6.161008409323783,5.751225667395022,2.2093953793866428,2.341579971258479,4.935228090667673,1.7992008249745697,1.1999432211347656,1.8497221498438963,0.14174687610189368
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,batch_summary_2.csv,variable_first,4,4,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,4.911319293145878,4.675043412761768,1.5050004279134694,1.4678300553478671,4.150226422820303,1.573888966588452,0.8939240822949582,1.2021926434815664,0.14373194172363354
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,batch_summary_2.csv,fixed_first,0,0,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,2.521110159411223,2.273557350925668,1.089464734600593,0.6670089820099052,2.0934457557881014,0.5845057000911414,0.7019020624539842,0.8270323130263663,0.10141230631162242
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,batch_summary_2.csv,fixed_first,1,1,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,4.172949856487707,3.8504999379967417,1.608465334487463,0.8721496656994123,3.3230633997234453,1.7386645376701548,0.9013187482223279,1.3248894267458804,0.13947491978049364
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,batch_summary_2.csv,fixed_first,2,2,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,3.8752179169859557,3.595379870304506,1.445876029380846,1.10516145566612,3.231595937077997,1.1234599539644365,0.7326740797057307,1.2384128515667325,0.1417031910008933
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,batch_summary_2.csv,fixed_first,3,3,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,6.014674748951895,5.700049992706008,1.9198287466156394,2.148074240752122,4.979449436373052,1.755400320772744,1.128485584750493,1.5465411057055187,0.1430849737228432
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,batch_summary_2.csv,fixed_first,4,4,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,4.668182724087191,4.485906589036831,1.291732178085712,0.8348998309523806,4.1121993711560965,1.5862271368574994,0.7068733861046402,1.0679893515385055,0.16822835943853368
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,batch_summary_2.csv,variable_first,0,0,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,2.228507137257607,1.9403593787830573,1.0960153018898604,0.5078989652234353,1.799683970947833,0.5178520683262509,0.684714308979493,0.8498618003049085,0.1007510666839662
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,batch_summary_2.csv,variable_first,1,1,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,2.786068528284795,2.5582223804696906,1.1034836185295154,0.6684514610442982,2.278804309057078,0.9511704963815086,0.6543270388809928,0.8774169256141893,0.14025605583349804
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,batch_summary_2.csv,variable_first,2,2,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,3.391034960013958,3.21037928806045,1.0920544523188143,0.7017507633966793,3.015832172452252,0.8478427607060333,0.6962309354298499,0.8317929517643239,0.12635622966444787
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,batch_summary_2.csv,variable_first,3,3,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,3.3428080217800296,3.1547891403950077,1.1052922464772126,0.9076581160542092,2.879053422641719,0.9164620310139419,0.5381443594286865,0.9543061246981905,0.1461896675598296
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,batch_summary_2.csv,variable_first,4,4,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,2.338082604437854,2.0847870863677733,1.0584389777824081,0.680995225731041,1.9004796018089132,0.5203460205724583,0.5913282370671163,0.8607776920170979,0.17229553291331584
"('margin', 3, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",k_fixed3_k_variable5,1.135010131430796,35.24437152765032,True,ok,batch_summary_2.csv,fixed_first,0,0,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,2.8857997123274304,2.6644635978781483,1.1083653347390976,0.5166365948717013,2.5150218145702294,0.712122296725086,0.7203813987433186,0.8361645751102711,0.10175047383964006
"('margin', 3, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",k_fixed3_k_variable5,1.135010131430796,35.24437152765032,True,ok,batch_summary_2.csv,fixed_first,1,1,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,3.9827299676982992,3.7761860516227688,1.2659213637235693,0.7530927419679078,3.241338623327039,1.7849807694745592,0.7071503070047356,1.040651914532026,0.13978174135300384
"('margin', 3, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",k_fixed3_k_variable5,1.135010131430796,35.24437152765032,True,ok,batch_summary_2.csv,fixed_first,2,2,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,2.7377766180000926,2.4955501158413536,1.125899830976199,0.6495838559976762,2.32338546432993,0.6385069920082153,0.6688645585595542,0.8964510103221078,0.1290202223980346
"('margin', 3, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",k_fixed3_k_variable5,1.135010131430796,35.24437152765032,True,ok,batch_summary_2.csv,fixed_first,3,3,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,4.132007788824524,3.933296083440456,1.2659661476115787,1.0735034572543871,3.583811975641113,1.214372319563589,0.6962090295109366,1.0465619416233964,0.15057017125383007
"('margin', 3, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",k_fixed3_k_variable5,1.135010131430796,35.24437152765032,True,ok,batch_summary_2.csv,fixed_first,4,4,phase1,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,3.5701684131022366,3.4047815272800017,1.0740415491990063,0.5431886080340047,3.2215198108310257,0.9587979417126715,0.5949718802483098,0.8762121787391297,0.17839823135003227
"('margin', 3, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",k_fixed3_k_variable5,1.135010131430796,35.24437152765032,True,ok,batch_summary_2.csv,variable_first,0,0,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,2.379159645455975,2.104077646623634,1.1105214430820103,0.5993760366301577,1.9542487840608422,0.4988013630008372,0.7198806452833678,0.8384798463498971,0.10945903049271512
"('margin', 3, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",k_fixed3_k_variable5,1.135010131430796,35.24437152765032,True,ok,batch_summary_2.csv,variable_first,1,1,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,2.1743115912923177,1.8235584504735636,1.1841729070260758,0.8249174835380099,1.5332018250866863,0.542373239750741,0.6391665325036171,0.9867469521552287,0.1416406363804429
"('margin', 3, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",k_fixed3_k_variable5,1.135010131430796,35.24437152765032,True,ok,batch_summary_2.csv,variable_first,2,2,phase2,margin,,,4,1.0,margin,,,4,1.0,0.0,0.0,200000,200704,401408,1.8124016200725814,1.4244952275534448,1.1205413776916844,0.4953351500368499,1.2963641304806872,0.3213561632574727,0.6470910421056798,0.9049767313516045,0.13380313171943745
